SETTLEMENTDATE,RRP
7/01/2018 21:00,86.26
7/01/2018 21:30,83.75
7/01/2018 22:00,72.51
7/01/2018 22:30,101.25
7/01/2018 23:00,94.16
7/01/2018 23:30,85.98
8/01/2018 0:00,107.25
8/01/2018 0:30,111.79
8/01/2018 1:00,123.69
8/01/2018 1:30,79.66
8/01/2018 2:00,64.98
8/01/2018 2:30,65.91
8/01/2018 3:00,65.24
8/01/2018 3:30,66.22
8/01/2018 4:00,65.06
8/01/2018 4:30,69.39
8/01/2018 5:00,109.54
8/01/2018 5:30,105.15
8/01/2018 6:00,121.53
8/01/2018 6:30,107.91
8/01/2018 7:00,119.53
8/01/2018 7:30,94.14
8/01/2018 8:00,96.55
8/01/2018 8:30,96.67
8/01/2018 9:00,91.81
8/01/2018 9:30,96.74
8/01/2018 10:00,101.27
8/01/2018 10:30,105.22
8/01/2018 11:00,112.99
8/01/2018 11:30,110.19
8/01/2018 12:00,106.55
8/01/2018 12:30,109.59
8/01/2018 13:00,109.68
8/01/2018 13:30,107.62
8/01/2018 14:00,102.82
8/01/2018 14:30,94.15
8/01/2018 15:00,100.93
8/01/2018 15:30,96.87
8/01/2018 16:00,103.02
8/01/2018 16:30,101.82
8/01/2018 17:00,102.19
8/01/2018 17:30,91.42
8/01/2018 18:00,91.94
8/01/2018 18:30,90.92
8/01/2018 19:00,88.92
8/01/2018 19:30,88.33
8/01/2018 20:00,89.94
8/01/2018 20:30,91.32
8/01/2018 21:00,89.65
8/01/2018 21:30,89.31
8/01/2018 22:00,85.67
8/01/2018 22:30,87.9
8/01/2018 23:00,86.26
8/01/2018 23:30,89.07
9/01/2018 0:00,89.07
9/01/2018 0:30,87.77
9/01/2018 1:00,84.47
9/01/2018 1:30,82.26
9/01/2018 2:00,81.89
9/01/2018 2:30,75.39
9/01/2018 3:00,73.98
9/01/2018 3:30,62.96
9/01/2018 4:00,61.7
9/01/2018 4:30,60.37
9/01/2018 5:00,61.57
9/01/2018 5:30,59.92
9/01/2018 6:00,60.57
9/01/2018 6:30,70.94
9/01/2018 7:00,81.29
9/01/2018 7:30,85.13
9/01/2018 8:00,84.29
9/01/2018 8:30,77.39
9/01/2018 9:00,76.84
9/01/2018 9:30,79.94
9/01/2018 10:00,79.22
9/01/2018 10:30,82.54
9/01/2018 11:00,92.8
9/01/2018 11:30,92.45
9/01/2018 12:00,90.97
9/01/2018 12:30,88.28
9/01/2018 13:00,88.17
9/01/2018 13:30,82.43
9/01/2018 14:00,66.89
9/01/2018 14:30,71.78
9/01/2018 15:00,72.5
9/01/2018 15:30,72.36
9/01/2018 16:00,81.53
9/01/2018 16:30,87.19
9/01/2018 17:00,112.92
9/01/2018 17:30,98.64
9/01/2018 18:00,96.06
9/01/2018 18:30,70.54
9/01/2018 19:00,74.17
9/01/2018 19:30,68.35
9/01/2018 20:00,70.31
9/01/2018 20:30,78.54
9/01/2018 21:00,82.55
9/01/2018 21:30,76.2
9/01/2018 22:00,66.59
9/01/2018 22:30,69.49
9/01/2018 23:00,66.02
9/01/2018 23:30,85.25
10/01/2018 0:00,78.18
10/01/2018 0:30,60.24
10/01/2018 1:00,57.69
10/01/2018 1:30,53.04
10/01/2018 2:00,49.37
10/01/2018 2:30,50.63
10/01/2018 3:00,49.03
10/01/2018 3:30,51.83
10/01/2018 4:00,47.6
10/01/2018 4:30,51.3
10/01/2018 5:00,47.06
10/01/2018 5:30,53.2
10/01/2018 6:00,54.79
10/01/2018 6:30,62.29
10/01/2018 7:00,84.42
10/01/2018 7:30,86.12
10/01/2018 8:00,74.58
10/01/2018 8:30,83.05
10/01/2018 9:00,88.15
10/01/2018 9:30,90.7
10/01/2018 10:00,92.44
10/01/2018 10:30,94.61
10/01/2018 11:00,99.49
10/01/2018 11:30,98.66
10/01/2018 12:00,101.55
10/01/2018 12:30,99.49
10/01/2018 13:00,91.78
10/01/2018 13:30,89.64
10/01/2018 14:00,88.3
10/01/2018 14:30,88.22
10/01/2018 15:00,97.51
10/01/2018 15:30,85.59
10/01/2018 16:00,82.57
10/01/2018 16:30,85.59
10/01/2018 17:00,90.23
10/01/2018 17:30,86.67
10/01/2018 18:00,102.57
10/01/2018 18:30,109.11
10/01/2018 19:00,111.44
10/01/2018 19:30,93.81
10/01/2018 20:00,102.83
10/01/2018 20:30,119.79
10/01/2018 21:00,81.77
10/01/2018 21:30,65.48
10/01/2018 22:00,64.2
10/01/2018 22:30,69.85
10/01/2018 23:00,68.35
10/01/2018 23:30,89.65
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
