,clear_sky,transmissivity,GHI_pred,GHI_observed,mean_model
2018-01-03 02:00:00,0.0,0.7572756472909923,0.0,0.0,298.8948810568155
2018-01-03 02:30:00,0.0,0.7571753876371723,0.0,0.0,298.8948810568155
2018-01-03 03:00:00,0.0,0.7570143241890124,0.0,0.0,298.8948810568155
2018-01-03 03:30:00,0.0,0.7568043043205679,0.0,0.0,298.8948810568155
2018-01-03 04:00:00,0.0,0.7565594380284733,0.0,0.0,298.8948810568155
2018-01-03 04:30:00,0.0,0.7562950824544312,0.0,0.0,298.8948810568155
2018-01-03 05:00:00,0.0,0.7560268224422171,0.0,5.532333333333332,298.8948810568155
2018-01-03 05:30:00,47.23107794405862,0.7557695087159584,35.69580857390632,24.97433333333333,298.8948810568155
2018-01-03 06:00:00,165.94617757654817,0.7555364075275586,125.37837884911549,78.54633333333335,298.8948810568155
2018-01-03 06:30:00,285.7838384443925,0.7553385051783705,215.86353733472436,156.17200000000003,298.8948810568155
2018-01-03 07:00:00,404.0356282131573,0.7551839984897155,305.12124124631623,233.68566666666672,298.8948810568155
2018-01-03 07:30:00,518.6794029918177,0.7550779889516905,391.6434005217252,218.57766666666666,298.8948810568155
2018-01-03 08:00:00,627.7547591213389,0.7550223847934818,473.96889529725104,296.94933333333336,298.8948810568155
2018-01-03 08:30:00,729.3965401671164,0.7550160024125547,550.7060599305247,486.95199999999994,298.8948810568155
2018-01-03 09:00:00,821.8667132655197,0.7550548471981071,620.5544456019074,546.9036666666666,298.8948810568155
2018-01-03 09:30:00,903.5840705445509,0.7551325443748418,682.3257382468832,851.5553333333334,298.8948810568155
2018-01-03 10:00:00,973.1512491682894,0.7552408835044575,734.9636092053254,902.2516666666667,298.8948810568155
2018-01-03 10:30:00,1029.3786092864032,0.7553704359668842,777.5621688716553,1011.8243333333334,298.8948810568155
2018-01-03 11:00:00,1071.3045624542162,0.7555112031754148,809.3825989470962,1048.7906666666665,298.8948810568155
2018-01-03 11:30:00,1098.2120040292582,0.7556532543632044,829.8674748254455,1070.5583333333336,298.8948810568155
2018-01-03 12:00:00,1109.6405692659257,0.7557873162639543,838.6522678631005,1081.875,298.8948810568155
2018-01-03 12:30:00,1105.3945038099162,0.7559052825205204,835.5735446990651,1077.4973333333335,298.8948810568155
2018-01-03 13:00:00,1085.5460142543923,0.7560006177194709,820.6734573392301,1054.5916666666667,298.8948810568155
2018-01-03 13:30:00,1050.434041189604,0.7560686390343079,794.2002359175319,1018.5496666666667,298.8948810568155
2018-01-03 14:00:00,1000.6584752231902,0.7561066670078043,756.6045445141178,967.6793333333331,298.8948810568155
2018-01-03 14:30:00,937.069914120275,0.7561140454681343,708.5317236519584,904.8250000000002,298.8948810568155
2018-01-03 15:00:00,860.7551350631873,0.7560920384505805,650.81010467673,828.1393333333334,298.8948810568155
2018-01-03 15:30:00,773.0185294528513,0.7560436188532633,584.4357264481616,741.2586666666668,298.8948810568155
2018-01-03 16:00:00,675.3598164685587,0.7559731690497351,510.55390070458384,644.5223333333332,298.8948810568155
2018-01-03 16:30:00,569.4484150721609,0.755886117577256,430.43815162941746,543.1726666666667,298.8948810568155
2018-01-03 17:00:00,457.0949118335073,0.7557885381936025,345.4670952303801,435.1043333333333,298.8948810568155
2018-01-03 17:30:00,340.2201113957275,0.7556867380359922,257.0998261948792,324.9099999999999,298.8948810568155
2018-01-03 18:00:00,220.82219788864998,0.7555868604169103,166.8503512130467,215.18966666666668,298.8948810568155
2018-01-03 18:30:00,100.9425687582941,0.7554945251392191,76.26155805038037,114.34866666666669,298.8948810568155
2018-01-03 19:00:00,7.221912528725227,0.7554145253674225,5.455537625132009,34.60166666666667,298.8948810568155
2018-01-03 19:30:00,0.0,0.0,0.0,3.847666666666667,298.8948810568155
2018-01-03 20:00:00,0.0,0.0,0.0,0.036333333333333336,298.8948810568155
2018-01-03 20:30:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-03 21:00:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-03 21:30:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-03 22:00:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-03 22:30:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-03 23:00:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-03 23:30:00,0.0,0.0,0.0,0.0,298.8948810568155
